,date,text,url,time_difference,timestamp
0,2018-06-06T13:40:05Z,"Следствие по делу о взятках, фигурантом которого является бывший сотрудник ГУЭБиПК (Главного управления экономической безопасности и противодействия коррупции) полковник Дмитрий Захарченко, вынесло постановление, согласно которому миллиарды, изъятые у обвиняемого, перестали быть вещественным доказательством. Об этом в среду, 6 июня, сообщает «РИА Новости». Захарченко курировал в МВД борьбу с преступлениями в топливно-энергетическом комплексе, его задержали при получении взятки в размере 7 млн рублей. При обыске в квартирах его родственников были обнаружены деньги в различной валюте на общую сумму 8,5 млрд рублей, происхождение которых он объяснить не смог. Полковник находится под арестом с сентября 2016 года. 1 декабря 2017 года Никулинский суд полностью удовлетворил иск Генпрокуратуры о конфискации и обращении в доход государства имущества Захарченко на сумму более 9 млрд рублей. Это 27 объектов недвижимости, в том числе квартиры и машино-места в Москве, золотой слиток, четыре элитных авто, зарегистрированных на родственников Захарченко. В декабре Следственный комитет завершил расследование в отношении него по трем эпизодам преступления. Экс-замглавы управления  «Т» ГУЭБиПК МВД России обвиняется в получении двух взяток (ст. 290 УК РФ) и воспрепятствовании производству предварительного расследования (ст. 294 УК РФ). 30 мая стало известно, что часть средств, арестованных в рамках уголовного дела, похитили. По данным РЕН ТВ, пропало более $5 млн. Контактировавших с деньгами Захарченко проверят на детекторе лжи.",https://iz.ru/752557/2018-06-06/milliardy-zakharchenko-perestali-byt-veshchdokom-po-delu-o-vziatkakh,0,2018-06-06 13:40:05
1,2018-06-06T15:07:33Z,"Российский «Концерн Калашников» разрабатывает военные системы с искусственным интеллектом, благодаря которым оружие может самообучаться. Об этом сообщил индустриальный директор кластера обычных вооружений, боеприпасов и спецхимии госкорпорации «Ростех» Сергей Абрамов. В ходе конференции «Цифровая индустрия промышленной России-2018» специалист отметил, что сейчас все ведущие страны ведут разработки по внедрению и адаптации систем искусственного интеллекта в перспективные вооружения. По словам Абрамова, задача разработчиков в этой области — построить соответствующий программно-аппаратный комплекс, удовлетворяющий требованиям военного ведомства. «Здесь, конечно, нельзя не отметить наработки «Концерна Калашников», достигшего определенных успехов в данной сфере», — цитирует его ТАСС. В марте стало известно, что «Калашников» планирует выпуск быстроходных катеров для десантных войск РФ. На судостроительном заводе «Рыбинская верфь» прошла торжественная закладка скоростного транспортно-десантного катера БК-16.",https://iz.ru/752611/2018-06-06/v-rostekhe-rasskazali-razrabotke-voennykh-sistem-s-iskusstvennym-intellektom,0,2018-06-06 15:07:33
3,2018-06-06T11:58:45Z,"Япония закупила у компании Lockheed Martin не совсем исправные новейшие истребители пятого поколения F-35. Данную информацию косвенно признали в США, сообщает Defense News. К настоящему времени разработчики и производители самолета вышли на финальный этап устранения всех выявленных в процессе эксплуатации недоработок. Ранее в этом году не менее пяти истребителей F-35 поставили на японскую военную базу Мисава в префектуре Аомори. По всей вероятности, туда их доставили с техническими дефектами, связанными с недостатками в программном обеспечении бортовой электроники данных самолетов. По данным издания, речь может идти о серьезных дефектах. В связи с этим профильный комитет американского конгресса предупредил Пентагон, чтобы на данном этапе оборонное ведомство воздержалось от заключения контрактов на массовые поставки F-35 в ВВС и ВМС США. Окончательное решение относительно закупок истребителей планируется принять не ранее осени 2019 года, передает ТАСС. F-35 спроектирован с применением технологии stealth и способен нести ядерное оружие. Вместе с Lockheed Martin над ним работал ряд ведущих подрядчиков Пентагона. В проекте принимали участие Австралия и некоторые страны НАТО, которые собираются закупить около 730 истребителей. Они, в частности, уже поступили на вооружение Израиля, Норвегии и Японии. Самолет выпускается в трех модификациях: для ВВС — F-35A, Корпуса морской пехоты — F-35B и ВМС — F-35C. В варианте для морпехов самолет может осуществлять вертикальный взлет и посадку. Ранее президент Турции Реджеп Тайип Эрдоган призвал Вашингтон выполнять обязательства по контракту на поставку истребителей F-35.",https://iz.ru/752476/2018-06-06/ssha-priznali-neispravnosti-u-istrebitelei-piatogo-pokoleniia-f-35,0,2018-06-06 11:58:45
5,2018-06-06T13:47:23Z,"Канцлер ФРГ Ангела Меркель заявила, что присоединение России к «большой семерке» пока невозможно, а возвращение объединения к формату G7 было неизбежным. Соответствующее мнение политик высказала в ходе выступления в бундестаге в среду, 6 июня. Меркель обратила внимание, что участники «группы семи» объединены общими ценностями, среди которых — соблюдение международного права. Из–за «аннексии Крыма» исключение России из формата «большой восьмерки» было неизбежным, полагает она. Однако диалог стран G7 с РФ не обрывается, отметила Меркель и добавила, что всегда выступала за поддержание контактов с Москвой, передает «Газета.ру». Крым вернулся в состав России в 2014 году после того, как 95,66% жителей полуострова поддержали это решение на референдуме. Украина отказалась признавать итоги народного голосования и по-прежнему считает полуостров своим. Возвращение региона в состав РФ стало причиной осложнений отношений со странами Запада, назвавших произошедшее аннексией. 18 мая президент России Владимир Путин провел встречу с Меркель в Сочи. Стороны, в частности, обсудили проект «Северный поток – 2», транзит газа через Украину, а также обстановку в этой стране в целом. Кроме того, политики говорили о «ядерной сделке» с Ираном и о ситуации вокруг «дела Скрипаля».",https://iz.ru/752554/2018-06-06/merkel-nazvala-nevozmozhnym-vozvrashchenie-rossii-v-g8,0,2018-06-06 13:47:23
7,2018-06-06T13:21:58Z,"Госдуме рекомендовали принять в первом чтении законопроект о запрете содержания в домашних условиях опасных диких животных и их обязательной регистрации. Соответствующее решение принял комитет нижней палаты парламента по экологии и охране окружающей среды. Документ предполагает ограничить возможность содержания опасных диких животных, в том числе тигров, крокодилов, медведей, леопардов и т.д. Также владельцев потенциально опасных животных обяжут зарегистрировать своих питомцев, приобретенных до 1 июля 2019 года, сообщает ТАСС. Норма о регистрации животных затронет специализированные организации — зоопарки и цирки. Кроме того, предполагается регистрация и «собак потенциально опасных пород». «Регистрация будет осуществляться как учет и идентификация животных в соответствии с действующими нормами законодательства о ветеринарии», — говорится в пояснительной записке. Госдума может рассмотреть данный законопроект в первом чтении 19 июня.",https://iz.ru/752532/2018-06-06/v-gosdume-podderzhali-zakonoproekt-o-zaprete-derzhat-doma-tigrov-i-krokodilov,0,2018-06-06 13:21:58
9,2018-06-06T15:34:07Z,"Россиянки Елена Веснина и Екатерина Макарова с 11 июня возглавят рейтинг Женской теннисной ассоциации (WTA) в парном разряде, говорится на странице WTA в Twitter. Это стало известно после того, как венгерка Тимя Бабош и француженка Кристина Младенович уступили  японскому дуэту Эри Ходзуми/Макото Ниномия в четвертьфинале Открытого чемпионата Франции по теннису (Roland Garros). Сейчас на первом месте парного рейтинга расположилась Чжань Юнжань из Тайваня. Веснина и Макарова делят вторую строчку. В 2016 году обе россиянки завоевали золото в парном разряде на Олимпийских играх в Рио-де-Жанейро,  отмечает «РИА Новости».  Roland Garros является одним из четырех турниров «Большого шлема». Матчи проходят в Париже на грунтовом покрытии. Призовой фонд составляет около $49 млн. Уже определены участницы полуфинала турнира, который пройдет 7 июня. ",https://iz.ru/752635/2018-06-06/vesnina-i-makarova-stanut-pervymi-raketkami-mira,0,2018-06-06 15:34:07
10,2018-06-06T15:32:36Z,"МИД России назвал доклад ОБСЕ по итогам президентских выборов в стране свидетельством политической ангажированности организации. Комментарий опубликован на сайте ведомства в среду, 6 июня. В министерстве заявили, что Бюро по демократическим институтам и правам человека ОБСЕ (БДИЧ ОБСЕ) продемонстрировало двойные стандарты. «Еще раз убедились, что реальная картина состоявшихся выборов Бюро интересует мало. В своих комментариях БДИПЧ вышло далеко за рамки своего мандата, откровенно вмешиваясь в законодательные процессы в Российской Федерации, непосредственно не связанные с выборами», — отметили в МИД. В частности, в ведомстве назвали необоснованной критику российского законодательства и обратили внимание на использование в докладе заявлений анонимных собеседников, выражающих личное мнение.",https://iz.ru/752634/2018-06-06/mid-rossii-posle-doklada-po-vyboram-obvinil-obse-v-angazhirovannosti,0,2018-06-06 15:32:36
11,2018-06-06T15:31:50Z,"Американская корпорация Microsoft установила датацентр на дне моря. Об этом говорится в сообщении компании. Расположен датацентр около Оркнейских островов недалеко от побережья Шотландии на глубине 35,5 м. В подводном датацентре содержатся 864 сервера, которые используют для охлаждения процессоров морскую воду. По словам представителей Microsoft,центр подключен к интернету и источнику питания при помощи кабеля, протянутого по морскому дну на соседний остров, сообщает телеканал «360». Прототип подводного датацентра испытали в 2015 году, когда затопили установку на дне океана недалеко от американского штата Калифорния. Она была существенно меньшего объема и проработала всего 105 дней. В феврале 2018 года Microsoft подписала меморандум о стратегическом сотрудничестве с Xiaomi.",https://iz.ru/752633/2018-06-06/microsoft-ustanovila-datatcentr-na-dne-moria,0,2018-06-06 15:31:50
12,2018-06-06T15:30:19Z,"Российская авиакомпания «Аэрофлот» изменила расписание рейсов на 8 июня из-за забастовки персонала аэропортов Италии. Так, отменен вылет рейса SU2418 из Шереметьево в Рим и обратный — SU2419. Время отправления еще четырех рейсов из Москвы в столицу Италии и обратно изменено, сообщается на сайте перевозчика. Авиакомпания также перенесла вылеты в Милан и обратно. Минимальное отклонение от времени по расписанию составило 30 минут, максимальное — около 4 часов. В начале июня «Аэрофлот» сообщил, что не планирует повышать цены на билеты экономкласса в Крым, а также сокращать число рейсов.",https://iz.ru/752632/2018-06-06/aeroflot-izmenil-raspisanie-na-8-iiunia-iz-za-zabastovki-v-italii,0,2018-06-06 15:30:19
13,2018-06-06T15:27:08Z,"Суд Варны по запросу местной прокуратуры арестовал россиянина, разыскиваемого Интерполом на основании решения Хорошевского районного суда города Москвы, передает ТАСС. По его данным, 59-летнего москвича задержали в аэропорту болгарской столицы 1 июня. Он обвиняется в мошенничестве в особо крупном размере. Предварительно установлено, что с декабря 2015 года по январь 2016 года он пытался незаконно присвоить имущество на сумму 74 млн рублей. В настоящий момент россиянин арестован на 40 суток, правоохранительные органы Болгарии ожидают его документы из России для начала процедуры экстрадиции. В генконсульстве РФ в Варне заверили, что помощь дипломатов россиянину не потребовалась. В апреле текущего года в Пекине арестовали россиянина на 10 суток за прыжок с парашютом с одного из местных небоскребов. Экстремал опубликовал фото полета в социальных сетях, отметив, что совершил прыжок со строящегося небоскреба Чайна Цзунь с высоты 528 м.",https://iz.ru/752627/2018-06-06/v-bolgarii-arestovali-razyskivaemogo-interpolom-rossiianina,0,2018-06-06 15:27:08
14,2018-06-06T15:21:59Z,"Массовое ДТП с участием нескольких грузовиков произошло на Варшавском шоссе в Подмосковье днем в среду, 6 июня. По данным очевидцев, три грузовика столкнулись на 27-м км трассы, сообщается об одном погибшем. На месте аварии работают медики скорой помощи, спасатели и сотрудники ГИБДД. Утром в среду пассажирский автобус въехал в стоящий на обочине «КамАЗ» на трассе М-4 «Дон» в Тульской области. Сообщалось о трех пострадавших.",https://iz.ru/752631/2018-06-06/tri-gruzovika-stolknulis-v-podmoskove,0,2018-06-06 15:21:59
